,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17
Macro_int,0.1338094652446543,0.0,0.0,0.07820643918746023,0.0,0.057085121100460275,0.0,0.012795906671091789,0.08315677281781785,0.0,0.05426829759627444,0.0,0.0,0.0,0.13216630264061965,0.19513731981316496,0.0,0.2533743749284565
Macro_CCL,0.16280969702625883,0.0,0.00021006449028953183,0.023900350022839127,0.017978536435380475,0.139337867233362,0.013277651500041558,0.010824033464208432,0.1414025956645851,0.00934986553194876,0.08400557511907734,0.01188469637418762,0.0004580778142445795,0.006395658513060541,0.014716860654182663,0.05002146636210738,0.028711444395549773,0.2847155593986762
Mast_cell,0.19622540195066943,0.0,0.04896370679603878,0.0,0.0,0.028358423657525746,0.00906298181062175,0.08128835911732626,0.07170771737100862,0.0,0.08995727864035112,0.09063928747151626,0.011062719093329206,0.06486306848839814,0.004527014280288822,0.21987748200744572,0.0,0.08346655931548026
Megakaryocyte,0.13776844000709446,0.06355653439260096,0.10994611064483396,0.01956076672644486,0.08563499922871834,0.09241915102813286,0.06072998870525334,0.01425369255517988,0.07598113753211647,0.08890104100638793,0.004646150499808989,0.10522627508127563,0.04531639471383975,0.07062184603817777,0.0,0.0,0.023559599326443997,0.0018778725136907356
Mesothelia,0.009196070066141553,0.047582318910016186,0.0,0.10385682472665166,0.07006218370655941,0.0,0.012106752941119335,0.06696895758697054,0.0,0.0,0.03108161831618487,0.0,0.00659330456544014,0.0,0.20932583349216613,0.2717922697448672,0.15524724465641354,0.016186621287469557
Macrophage_intermediate,0.12760276005443777,0.0,0.010387035433548849,0.06028208961487662,0.04209036198157329,0.09035064242395455,0.025742031662251957,0.03242143198286138,0.09273991111255724,0.00706290182573379,0.05881087452399458,0.017383313594360055,0.016323780466295547,0.004416546408556942,0.07341521705362097,0.12195246636235034,0.04745287448787666,0.17156576101114945
Monocyte_CD14,0.1891865667689502,0.0,0.0035048350949020662,0.005280355674896406,0.0,0.1858253124118429,0.008896928118733844,0.03264448327065852,0.13728853735210292,0.0005332542528258944,0.08514004132981652,0.00441549826018477,0.0029300487981386357,0.0009584944245941537,0.052324841362703975,0.1406147645943346,0.0,0.15045603828531473
Monocyte_CD16,0.1585771233242507,0.0,0.008699045297747454,0.03152257506062067,0.01796463340244967,0.13017643383734662,0.017607375835070316,0.03822593827264524,0.11598425873627087,0.008277418466901975,0.07246706032997685,0.016870476036207255,0.008778241108918642,0.006987554936123168,0.06062882436151058,0.14729564050657634,0.02068368503963565,0.13925371544774798
Muscle_airway,0.0025875602983511945,0.0,0.8228146431197071,0.0,0.0,0.0021743904730312665,0.008764221365509497,0.0,0.0012235611965383537,0.0003445687774998318,0.0004150892731022121,0.003440216687230211,0.15653093971348897,0.00170480909554158,0.0,0.0,0.0,0.0
Muscle_pericyte_airway,0.01389000526978731,0.0,0.0048159168022269844,0.037637569846295044,0.024246614075587678,0.0031944971340322243,0.00776599158411641,0.34145526010217225,0.0048702888786084295,0.0,0.005041957419685317,0.0,0.029607115122586347,0.0,0.2089419994420508,0.3083774332767687,0.0008169436792806325,0.009338407366801813
Muscle_pericyte_parenchyma,0.25869121800415007,0.001918600214363234,0.014167994721969812,0.009303607785026098,0.016819063299338497,0.3720152862196733,0.007226836916537185,0.0026624803409154023,0.2041571381572737,0.0,0.06672526089327392,0.0,0.010641796077598558,0.0,0.005085601669093625,0.007321229074962055,0.013726002387137816,0.009537884238686862
Muscle_perivascular_immune_recruiting,0.02242747592832573,0.01306323202120946,0.036619006739873027,0.10405873977861099,0.0962197662478816,0.03691444237355211,0.04262370854739245,0.15574603505235032,0.015138409375466065,0.0,0.006373821659075593,0.0,0.053131004495990355,0.0,0.11628212490944481,0.2130438439633446,0.08055715522909321,0.007801233678389639
Muscle_smooth_pulmonary,0.003656951758109906,0.0,0.44333545567110094,0.0,0.0,0.0008025194826590315,0.0,0.0,0.00276087883834005,0.0,0.0,0.0,0.5147382382592751,0.0,0.0,0.03470595599051488,0.0,0.0
Muscle_smooth_syst_arterial,0.00011777705732825936,0.002169170672125161,0.2579749704271468,0.008475796033629824,0.02841012484963162,0.0,0.0,0.0,0.00028289845318289883,0.0,0.0,0.001728416418819669,0.6854823776500653,0.0011011002282134094,0.0016030169915087213,0.0,0.01265435121834854,0.0
Myoepithelial,0.007673360592751202,0.3005062999466488,0.04232090347099008,0.007298449733779344,0.39056380467146334,0.013056310886582247,0.025620950575187654,0.0,0.004197446637463793,0.0,0.000969401334172253,0.015987510106998937,0.015738713634942548,0.0,0.0,0.0,0.17606684840901968,0.0
NAF_endoneurial,0.027543557655972013,0.0,0.19123822648346372,0.0008955884021845571,0.04870152455471953,0.012023306280033926,0.5579577583243541,0.01029810132796744,0.01054529122151259,0.0,0.004223731173536053,0.011580354951802608,0.06317573261218754,0.006069628213386407,0.03058157098511111,0.0,0.025165627813768333,0.0
NAF_perineurial,0.01827860194808108,0.0,0.21419517661490786,0.0,0.00617431833359527,0.009854368681723612,0.5396351437448781,0.0564071470695813,0.012023297647471549,0.0,0.0010047156089730415,0.0055122673036826185,0.0948862706140435,0.003687080784371087,0.03834161164869127,0.0,0.0,0.0
NK_CD16hi,0.15951511658832285,0.015137317553731109,0.030349658917344976,0.04324769898903196,0.05316619057147836,0.14300670014645533,0.021085606632777493,0.017486207505800447,0.14959642285366548,0.0335812391982324,0.084597092562304,0.03103210119733926,0.018729395140797717,0.030561346520552566,0.01716539267952262,0.015387428266297081,0.05103126156447281,0.08532382311187345
NKT,0.19470642911100347,0.0,0.022198435918965902,0.026730172994798018,0.030101670442972312,0.11947179417708574,0.01628931150111997,0.03195980838819325,0.14963820981396095,0.006779363522847794,0.10653064079431096,0.012720110935545583,0.016377651050546733,0.007559696787526742,0.037773656208710836,0.0844630460843637,0.029588271476263743,0.10711173079178417
NK_CD11d,0.1405544979091477,0.025923191771826705,0.026468229618406863,0.04442662605403514,0.05815435044676396,0.1266883405471517,0.019404747351434774,0.014301208461390585,0.13357318521208775,0.06750384689408115,0.07214902211232244,0.051690867906843525,0.01583079036341977,0.05828422982869402,0.013769993827206386,0.0069095617927302086,0.050953735234897324,0.07341357466756017
NK_CD56bright,0.14627128532498315,0.028211939147421063,0.021561035670996508,0.01942987888839665,0.03595620514104667,0.11406170916171482,0.01991361648820651,0.014327844200326971,0.1300555851459298,0.09463649562657564,0.0773800749480994,0.08179432930956136,0.01393280491334721,0.08855733287554088,0.010030487511654942,0.0025300543942180648,0.026083823669219987,0.0752654975827604
Neuroendocrine,0.04542639903107425,0.09838454353325611,0.12011881062237631,0.03740835604472709,0.16803253163091741,0.011949357102970395,0.1638420344564158,0.012940272518307226,0.02048286087864178,0.03992782878582283,0.03290015786107772,0.08433473279034247,0.032701438652269196,0.037156857825728806,0.0,0.0,0.0828262712938606,0.011567546972211684
SMG_Basal,0.02125165214319124,0.0,0.0853895440749759,0.0,0.0,0.0,0.07663052117104584,0.02112442380270226,0.0,0.0,0.0025845972497591943,0.2759786277992306,0.02625724390117071,0.018951419673023065,0.0,0.0,0.47183197018490114,0.0
SMG_Duct,0.0,0.002737578669504465,0.0023333476517229633,0.07600735692062004,0.17837336715313248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003270535652940356,0.0,0.0024375608990712576,0.0,0.7348402530530085,0.0
SMG_Mucous,0.0,0.8253851639653506,0.0,0.02877136089872575,0.039284793797178835,0.0009849727912850355,0.0,0.0,0.0016761474011682271,0.05310292787570204,0.0,0.0,0.0,0.013016252513445698,0.0008562489849549965,0.0,0.03692213177218901,0.0
SMG_Serous,0.0,0.002235235094671246,0.0,0.00671638959133262,0.9606662032384311,0.0,0.0,0.0,0.0003995497703470045,0.0,0.0,1.718108945889789e-06,0.0,0.0,0.0009381310877885153,0.0018855496157826686,0.027157223492700965,0.0
Schwann_Myelinating,0.0,0.11581408815486818,0.06542890141757332,0.06747740969300245,0.19523538239511698,0.011564401072643733,0.4742881156032853,0.0,0.0033999589495926916,0.0,0.0,0.0,0.0019257608637259546,0.0,0.0,0.0,0.06486598185019131,0.0
Schwann_nonmyelinating,0.0,0.0,0.05918497205467399,0.0,0.012181410590253839,0.0,0.8740275621840381,0.0,0.003447025200444442,0.0,0.0,0.0,0.0,0.0,0.0,0.043128118408186554,0.008030911562403122,0.0
Secretory_Club,0.007664413690363968,0.17003667568907593,0.08825267374116925,0.0,0.030384553990448867,0.0,0.04919010534547199,0.0,0.05429864431715137,0.05565190883980363,0.08198229410917997,0.02901158119383382,0.02774550133972676,0.345299055157764,0.0,0.0,0.040171358353827985,0.020311234232182483
Secretory_Goblet,0.0,0.0,0.0009632618325655891,4.393795839103621e-05,0.0,0.0,0.0,0.0007175882259981798,0.0,0.9340808676252309,0.0,0.0,0.0,0.050800746854882686,0.0019641150125068755,0.0004533996266503987,0.010976082863774397,0.0
Suprabasal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19536807020922184,0.0,0.7340225094053107,0.0009629867103559554,0.06964643367511157,0.0,0.0,0.0,0.0
T_reg,0.18388866003316567,0.0064171881900277235,0.03916386983743245,0.011585762017199422,0.02584599895747221,0.12090900635117244,0.024513781462222724,0.02537433748095178,0.14506626846196322,0.04375619737464829,0.09589138450889806,0.04509856935395795,0.0248416564468224,0.041263798119671825,0.024386289470160864,0.02892050041765686,0.021261491319697477,0.0918152401968787
gdT,0.17301552482173763,0.003965984442794813,0.0452966529040511,0.029426284480109168,0.042818532977645325,0.10942041938921758,0.026188847785573437,0.031746680113268616,0.13510555966180893,0.0215191560376562,0.09246108360956072,0.028499543385694954,0.029909099566632614,0.02257123346811267,0.03392513936584903,0.04541632288420836,0.039278132263625185,0.0894358028424536
