,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8
Endothelia_vascular_arterial_systemic,0.0,0.08901411620465091,0.09246098538639083,0.0009503103313314297,0.07549986205276762,0.002533024249473213,0.0,0.0,0.7395417017753859
Endothelia_vascular_venous_pulmonary,0.004770325471745311,0.1883300136041296,0.10777154265911686,0.002658289887873784,0.17424269698440595,0.0013907291992738375,0.048872296065576734,0.3478367058058941,0.12412740032198401
Endothelia_vascular_venous_systemic,0.0,0.02202084849864154,0.07016209288989318,0.009951407420656595,0.007043125662528295,0.0,0.021439750067174815,0.7840345347612578,0.08534824069984771
Erythrocyte,0.15398364685054763,0.28560956115974107,0.02442362611504297,0.023269921949558677,0.3838969948967371,0.02047482209737821,0.0010513231102822474,0.007883496356745495,0.09940660746396655
Fibro_adventitial,0.0,0.0,0.05481739546553304,0.0008590884528338268,0.0,0.0,0.1352859673264058,0.7873976695274563,0.021639879227771025
Fibro_alveolar,0.11577455032618925,0.1924275557234106,0.0010473200444493852,0.0,0.6907505739059507,0.0,0.0,0.0,0.0
Fibro_immune_recruiting,0.011109713081661391,0.014132682516210865,0.03653997077163313,0.0,0.058067381680566015,0.0,0.323034164492142,0.5440501344742381,0.013065952983548505
Fibro_myofibroblast,0.0009498670597878468,0.0022287717479582527,0.01908426866509744,0.0,0.01304516274250008,0.0,0.0,0.9575276920120961,0.0071642377725602314
Fibro_peribronchial,0.009592834501882514,0.017581586700645985,0.27565843104164733,0.054958438548476735,0.15706594836691937,0.09696130560705492,0.0,0.3342851100383093,0.05389634519506389
Fibro_perichondrial,0.0,0.03720492648574776,0.21020779606194678,0.020266770860689464,0.07506026256371744,0.0,0.0,0.5931619236009253,0.06409832042697328
ILC,0.13667977564370043,0.18892903118142382,0.06836907124486619,0.04833208168330388,0.2520027492644934,0.06396430972228868,0.09013723874278726,0.10426582413246017,0.04731991838467618
Ionocyte_n_Brush,0.009216005288876315,0.03524924182151907,0.014043169108940254,0.3014871792590582,0.006975201757388166,0.5956400504272935,0.030990530436440556,0.0,0.00639862190048392
MAIT,0.18184387556952553,0.2311572280133337,0.033900057530300474,0.03712534722908793,0.31821271634558107,0.04742459273933879,0.055189877458972705,0.07222027386229497,0.022926031251564727
Macro_CHIT1,0.20561773342331074,0.10250380860348832,0.0,0.0,0.5100612899058442,0.0,0.043599259763642144,0.1382179083037146,0.0
Macro_interstitial,0.1430716570129056,0.3065018652915794,0.0,0.010729738017555642,0.410701409365769,0.009959107167957214,0.025423923785084665,0.09361229935914862,0.0
Macro_AW_CX3CR1,0.07901657295482453,0.15156653201527295,0.0,0.04616794163175793,0.2215782084777736,0.15225130031346185,0.23152538229189312,0.11789406231501605,0.0
Macro_alveolar_metallothioneins,0.09425849554523844,0.14432849415168952,0.008536202528817333,0.0,0.22639127858297756,0.0062305939017234255,0.11669319066320548,0.3370513623102696,0.06651038231607875
Macro_alv,0.20392750097902423,0.17441030943562683,0.0,0.0,0.5865753814823584,0.00047961645489747433,0.009272793172643644,0.020747938572983134,0.004586459902466173
Macro_dividing,0.17037616765983885,0.2373768475512694,0.005063875698063657,0.0,0.5108554548178134,0.006348397437589114,0.014783517441199318,0.044459423390501435,0.010736316003724813
Macro_int,0.12739945294088853,0.1331026225982622,0.0,0.0,0.3210349999315971,0.0,0.035629184708935634,0.3828337398203166,0.0
Macro_CCL,0.16765972005245977,0.26995468790845456,0.0009964718224851363,0.011402365348602289,0.3774068894055668,0.024079813247644955,0.06329977602614759,0.08225210932965746,0.0029481668589815954
Mast_cell,0.15677238664932497,0.06863924797693258,0.06861741145259354,0.09553842056427085,0.30132391945433434,0.057175083187788175,0.0,0.23880133930350525,0.013132191411250292
Megakaryocyte,0.012943430176265164,0.13139998460883562,0.15550262237173984,0.11225010193241944,0.20366038423507257,0.18734426836901988,0.13122208407826477,0.0,0.06567712422838272
Mesothelia,0.05741730645343429,0.0,0.0,0.004091937688503789,0.013271368776633242,0.0008438553308205354,0.3394902005943663,0.5678301850036275,0.017055146152614276
Macrophage_intermediate,0.11602113525477475,0.17017396770510826,0.02022644636596197,0.007878362034151671,0.27476211974145737,0.02610262140212068,0.130553158273509,0.2257444685070684,0.028537720715847988
Monocyte_CD14,0.14037404776006263,0.28000131465713335,0.006619217623382146,0.000968297619542871,0.3583800255180928,0.005916153220551401,0.0,0.20150268311845182,0.006238260482782966
Monocyte_CD16,0.1278801956161864,0.21955457599066366,0.015538059941962255,0.011347092944252178,0.30493971839085043,0.025969909495796296,0.05349888568715958,0.22590471141200064,0.015366850521128454
Muscle_airway,0.000695633907708961,0.0015097918685995696,0.8530834070449455,0.0018861906208777512,0.0028923634519277008,0.0015966350978362193,0.0,0.0,0.13833597800810435
Muscle_pericyte_airway,0.010345015641706382,0.008630754046599349,0.023562978050522064,0.0014215739334302484,0.03639394844192217,0.0,0.05339431482681341,0.7951665902309444,0.07108482482806212
Muscle_pericyte_parenchyma,0.07495510277724964,0.44205918119243126,0.02071439278940019,0.0,0.40074943988253736,0.0,0.03376111683632055,0.010969441852312143,0.016791324669748905
Muscle_perivascular_immune_recruiting,0.009609650447999,0.04855994977163432,0.0709990698768943,0.0,0.05802529466032546,0.0,0.2680800071739652,0.44626573639181777,0.09846029167736405
Muscle_smooth_pulmonary,0.0006423446147210771,0.00137739203649425,0.4493838169273802,0.0,0.00473956407735712,0.0,0.0,0.01790671549859844,0.5259501668454489
Muscle_smooth_syst_arterial,7.28019175399865e-05,0.0,0.2528964083421024,0.001420518000310498,0.0,0.0,0.03242099410126618,0.0,0.7131892776387809
Myoepithelial,0.0013211777545260983,0.01719623696662873,0.0773496365735825,0.020323355694175475,0.015166220884247992,0.07139707855098293,0.7688979946985159,0.0,0.02834829887734031
NAF_endoneurial,0.005157448645848259,0.03092402460647116,0.486655328552698,0.018248632516692162,0.07540104746126275,0.0006077290151560461,0.12222328927077096,0.04810034423249561,0.21268215569860513
