,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
Ionocyte_n_Brush,0.29078568893994644,0.006671691772455804,0.013449204148977637,0.016325991829550142,0.5839487954631497,0.00984156732490738,0.0,0.03465365584910476,0.0,0.007371996296174687,0.005990724327345506,0.030960684048388035
MAIT,0.029684762476315817,0.23112349270598764,0.027713553856357997,0.12327254470671471,0.038317208868946906,0.0281949915096642,0.1158711202766066,0.0306554048161551,0.05580745236583668,0.12574800374166026,0.018126261222952467,0.1754852034528017
Macro_CHIT1,0.0,0.06485445138292781,0.0,0.014761786532125527,0.0,0.013784838821422547,0.7382729383185017,0.0018275887379300465,0.04525722649545244,0.04406319980336806,0.00010995113745408418,0.07706801877081788
Macro_interstitial,0.006919731127468624,0.1610593583893671,0.0,0.17378376250977876,0.005437313049911024,0.010564931450589414,0.36290582786023545,0.004725239111373011,0.05133726967568027,0.06881225864031638,0.0,0.1544543081852799
Macro_AW_CX3CR1,0.034900175317041905,0.12131211157210754,0.0,0.09549718776433105,0.11416459389711407,0.1421417861147543,0.17013489025672743,0.09604953664730108,0.08339282238844846,0.04634550234583311,0.0,0.09606139369634087
Macro_alveolar_metallothioneins,0.0,0.10917089503158633,0.0075300975137881886,0.08695164325241544,0.002816037461705126,0.07789989872544899,0.23425706023195952,0.03759714371572049,0.2466913418408565,0.053130419325435614,0.05004560580522068,0.09390985709586325
Macro_alv,0.0,0.04297405137847317,0.0022573118023402846,0.05091662018562326,0.0,0.0,0.7876809495511322,0.0,0.0,0.0332940194073856,0.0010626415794263333,0.08181440609561912
Macro_dividing,0.0,0.07989742473047164,0.00622129748332174,0.07968080729215238,0.0012686111288232388,0.0,0.6690206297416897,0.0,0.00411147405598484,0.03800013417160346,0.005463904753413035,0.11633571664253993
Macro_int,0.0,0.16192575736279463,0.0,0.06264305493635716,0.0,0.014133238938843554,0.3060370544268044,0.016337759294702825,0.2709394732876692,0.06486567229156852,0.0,0.1031179894612596
Macro_CCL,0.007760345647287054,0.1786852805510568,0.0018911250609553924,0.14693778747422384,0.015413269842729062,0.03301765947099197,0.29798030318886604,0.020411585793516856,0.04851928178950189,0.09049613487110555,0.0015244505197715532,0.15736277578999405
Mast_cell,0.08263102566643556,0.2502421945135668,0.06061072377244017,0.02852220597036982,0.05050838605555983,0.0,0.10538521695840952,0.0,0.20722456369591702,0.11335838945203709,0.011757625470395638,0.08975966844486868
Megakaryocyte,0.09823607376515196,0.16603412715298488,0.138366598163084,0.11144838751746577,0.16991898620398985,0.04657134857322847,0.0012824861194434892,0.11387749332275827,0.0,0.0060223752268635895,0.05768716284229326,0.0905549611127364
Mesothelia,0.0025517388528150243,0.015743786905610676,0.0,0.0,0.0,0.2733400130586462,0.033167276807856444,0.12807221803245641,0.48678847627150285,0.044541818062003934,0.015794672009108335,0.0
Macrophage_intermediate,0.005767933537644641,0.15390765802938158,0.016061817635189397,0.10460041003544349,0.019009433285702967,0.06888497052978229,0.20066516004404047,0.062155032432365205,0.1658307942483448,0.06971799298655237,0.021309090313817978,0.112089706921735
Monocyte_CD14,0.0005770499297157138,0.21641969150701995,0.004612664976832599,0.20155531700115445,0.004266003056089242,0.0,0.16481402912063647,0.0,0.1506648000875406,0.0954698679623521,0.0033285261890294076,0.15829205016962952
Monocyte_CD16,0.008722437212224205,0.1891545439180907,0.012320338788639109,0.14741133875336523,0.01989407586664115,0.029352005468012546,0.16085273483245055,0.024482676736967808,0.17329357686779182,0.08482776017474726,0.011270194840317466,0.13841831654075226
Muscle_airway,0.0018662637955959669,0.0027203462271351854,0.8533753060224873,0.0014198970820830346,0.0013607894744698211,0.0,0.0,0.0,0.0,0.00041497035993421364,0.13722132007801616,0.0016211069602782918
Muscle_pericyte_airway,0.0013677254938762376,0.023431814282014456,0.021419298914839815,0.027351365327042514,0.0,0.013266734053903821,0.023418089592958383,0.055741756291569064,0.7580185142086755,0.009069350056351682,0.06691535177876842,0.0
Muscle_pericyte_parenchyma,0.0,0.2692588991242016,0.014405447765220484,0.371127404132084,0.0,0.015971063320272465,0.007733461036479942,0.01870271798421608,0.008872838439160133,0.06777676497174738,0.010565867823307332,0.2155855354033105
