,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7
Ciliated,0.0,0.0,0.006000400600116905,0.0008881889827747615,0.9880886750187955,0.0006098813438339725,3.9025847943668616e-05,0.004373828206534998
DC_1,0.3814081587629994,0.0030025161351342625,0.0,0.10043604052783282,0.08436821607351905,0.16398433862480669,0.20130788905382485,0.06549284082188286
DC_2,0.38192621192016285,0.0,0.0,0.19434484921509787,0.15162791618557278,0.06982510832844134,0.1810590268567912,0.021216887493933863
DC_activated,0.37646178690388965,0.019214106182722207,0.009337892676706577,0.2371720710829417,0.10425402779980844,0.038695832619354366,0.20707754204531859,0.0077867406892583434
DC_plasmacytoid,0.2796199079844234,0.05996458723066358,0.034208669078886006,0.1908835980464,0.14566134629463307,0.0627914008365805,0.14143549461746954,0.08543499591094375
Deuterosomal,0.0,0.0,0.00027654001629995843,0.0,0.9997234599837,0.0,0.0,0.0
Dividing_AT2,0.1482404212812625,0.018732132514027545,0.001332589818225436,0.38239888935343963,0.18079594514267644,0.0,0.24584345386820078,0.02265656802216771
Dividing_Basal,0.0,0.19942701602961257,0.0,0.0,0.27404910725419185,0.1955413200190514,0.01292371128853732,0.31805884540860685
Endothelia_Lymphatic,0.1281193725924743,0.09240298885433837,0.08618086130393372,0.057268696062577014,0.0,0.6102315136250449,0.018353835142337724,0.007442732419294053
Endothelia_vascular_Cap_a,0.3400385428898438,0.010662243967223112,0.008848753732575277,0.5971408654090876,0.0,0.0,0.037179266695363616,0.006130327305906742
Endothelia_vascular_Cap_g,0.36084666400637433,0.00751296190532086,0.007635828526046089,0.6142528853941747,0.0,0.0010343081635002863,0.0,0.008717352004584036
Endothelia_vascular_arterial_pulmonary,0.26763254604017894,0.08073017233238468,0.2727434766651432,0.3270953424472346,0.0,0.03313734932680716,0.0,0.01866111318825142
Endothelia_vascular_arterial_systemic,0.07793805176685861,0.07084561786334297,0.7580132451589902,0.0913359757714535,0.0018671094393546944,0.0,0.0,0.0
Endothelia_vascular_venous_pulmonary,0.17404409789036507,0.10269102316276371,0.12978432268393916,0.18851155375336937,0.0025874803159686437,0.3485783369245628,0.004779645034248795,0.04902354023478237
Endothelia_vascular_venous_systemic,0.00686460449382834,0.06670739290756386,0.08888495282714819,0.02215983835971,0.009126642422531535,0.7849022170823566,0.0,0.02135435190686147
Erythrocyte,0.389899745945548,0.021896306843572265,0.10116551062630968,0.29038245433095006,0.030117712632962715,0.008105007877994709,0.15697847978417553,0.0014547819584870328
Fibro_adventitial,0.0,0.053230004681856874,0.025065707711326667,0.0,0.0,0.7865552148110483,0.0,0.13514907279576813
Fibro_alveolar,0.6902102976831179,0.0011686997108591199,0.0,0.19252966393924165,0.0,0.0,0.11609133866678126,0.0
Fibro_immune_recruiting,0.05785239058747136,0.03522156215478334,0.015495993978603885,0.014072791602726432,0.0,0.5436029192614412,0.011115879930466897,0.32263846248450667
Fibro_myofibroblast,0.013068059037310339,0.018358354470244902,0.00844927828774175,0.002182020433199932,0.0,0.9570008208401638,0.0009414669313392663,0.0
Fibro_peribronchial,0.16580271932709462,0.28881871520619,0.07257553071957899,0.018104480130066252,0.09089185844037966,0.3537797595280214,0.01002693664866902,0.0
Fibro_perichondrial,0.07425166734908964,0.20418557115378994,0.07643138026287824,0.037063988098105814,0.018752618895370374,0.5893147742407661,0.0,0.0
ILC,0.26237673692809577,0.07061133036308836,0.05209270236119981,0.19657564804701763,0.07142135943555844,0.10908683189399011,0.1427327638574865,0.09510262711356339
Ionocyte_n_Brush,0.015543890146160703,0.041679537768612766,0.0,0.052608472184553216,0.8085757191279974,0.0,0.01477977956326125,0.06681260120941462
MAIT,0.3277452245140159,0.035094854386421064,0.02472444496191708,0.2381782182705606,0.05374989492513688,0.0747954698744176,0.1879517852483242,0.05776010781920661
Macro_CHIT1,0.5094909898450773,0.0,0.0,0.10234829833623385,0.0,0.13837610093898176,0.20610401457453345,0.043680596305173534
Macro_interstitial,0.41296693479441016,0.0,0.0,0.3085636474684319,0.013782738022801243,0.0944477292442284,0.1444137462039641,0.025825204266164196
Macro_AW_CX3CR1,0.24614464197803357,0.0,0.0,0.16706939650121655,0.10723771740288213,0.13172935560503446,0.08769926221753108,0.2601196262953023
Macro_alveolar_metallothioneins,0.22766728905208378,0.007071714923372458,0.06650779146082575,0.14532524574994668,0.0001550072943873885,0.3399748778611116,0.09513856889435837,0.11815950476391399
Macro_alv,0.5863946605127224,0.0,0.004456730728500746,0.17440740812794706,0.0,0.020780312188992314,0.20458947993015922,0.009371408511678336
Macro_dividing,0.5127262535400251,0.00513201135819728,0.010797895763739601,0.23841952666647395,0.0013693296101439075,0.04478567533803379,0.1716172292846534,0.015152078438733065
Macro_int,0.3205031121622681,0.0,0.0,0.1329877025699494,0.0,0.3832077855396669,0.12765076102777154,0.03565063870034397
Macro_CCL,0.3829263968061849,0.0016064098615531752,0.002546191752291068,0.27413288257482,0.01939666958671783,0.08380699695619756,0.17073914659461273,0.06484530586762266
Mast_cell,0.31226968659621973,0.07145365105796565,0.01721967791938856,0.07105699746811095,0.11651293296953932,0.24848981119572516,0.1629972427930507,0.0
Megakaryocyte,0.2313302226456556,0.1774713512590872,0.08063594093192264,0.1476379836129558,0.19589691111207355,0.0,0.014641690312458265,0.152385900125847
Mesothelia,0.013228623611454698,0.0,0.01650199474539113,0.0,0.002896716412884556,0.5691903360965452,0.0576199646447435,0.34056236448898086
Macrophage_intermediate,0.27916781946562397,0.020210593952989256,0.02947884723622881,0.17293211726699814,0.016363098497773475,0.23007782691260154,0.118276206335571,0.13349349033221372
Monocyte_CD14,0.35914031804212493,0.006631215655761861,0.006464923727080569,0.28103638288936356,0.002870933002746771,0.20261695827824458,0.14123926840467765,0.0
Monocyte_CD16,0.30966255168020124,0.015899229353672394,0.015919518723075163,0.223107985986916,0.02000458829283122,0.23016653657642602,0.13032514501420095,0.05491444437267712
Muscle_airway,0.0026654656112763847,0.8104807726617964,0.18408760938311902,0.001624854817832314,0.0004548885182543828,0.0,0.0006864090077214424,0.0
Muscle_pericyte_airway,0.036324942300166405,0.021147870004804285,0.07188235286475285,0.008687961370749052,0.0007714125101673029,0.7972705447079661,0.010388888602683532,0.05352602763871056
Muscle_pericyte_parenchyma,0.4000425746418762,0.01996389022431421,0.01793649818087326,0.4421275013108201,0.0,0.010957858949819686,0.07514380668526652,0.033827870007030136
Muscle_perivascular_immune_recruiting,0.057941498078504385,0.06696503648830336,0.10187909378867879,0.04850307839460875,0.0,0.44671745595975954,0.009629127853277736,0.26836470943686747
Muscle_smooth_pulmonary,0.00471206418658106,0.4271787144239437,0.5482209959675427,0.0014069932755573732,0.0,0.017837521679381855,0.0006437104669935883,0.0
Muscle_smooth_syst_arterial,0.0,0.23141060270801606,0.7338491634604719,0.0,0.0012625111044381387,0.0,7.455429969142096e-05,0.033403168427382446
Myoepithelial,0.01619527405558143,0.08110297356501757,0.03323134903281834,0.017583235472508233,0.04340917006668862,0.0,0.0013697665129157551,0.8071082312944701
NAF_endoneurial,0.07410097533920121,0.46800307502540833,0.23809522129771488,0.030629947309523044,0.016202473326624025,0.047354543529965605,0.005115741879905542,0.12049802229165733
NAF_perineurial,0.05205718697045219,0.5008955201376848,0.3010918706963433,0.03282901036294152,0.009694130771716238,0.08031971526378329,0.0,0.023112565797078745
NK_CD16hi,0.270831819188708,0.04723825036085751,0.03117520105982277,0.2649852287706276,0.07105384572406076,0.04392152095544797,0.13822108577004644,0.13257304817042895
NKT,0.31313308343621565,0.033232929549212926,0.026538740784283702,0.23424355380082496,0.017266887864983597,0.13036326260503653,0.17485735892635187,0.07036418303309082
NK_CD11d,0.24586379711754341,0.04436084480522723,0.02634048739103921,0.2432969152650974,0.13940268917961832,0.0322822695698129,0.12200791765833519,0.14644507901332637
NK_CD56bright,0.25399858297632283,0.03924050932611319,0.022889353935128302,0.23052266957474457,0.20999747693349988,0.022921850431284904,0.13354713022815684,0.08688242659474957
Neuroendocrine,0.08578997336305556,0.2322092415038192,0.08617174246832181,0.030003172877913178,0.13194158506529324,0.0,0.06324351538946986,0.3706407693321271
SMG_Basal,0.03729750481233266,0.19944955484422144,0.06525416514850706,0.0,0.13896819638088181,0.0,0.004606614321451209,0.5544239644926059
SMG_Duct,0.0,0.020898830697947235,0.00418662405152055,0.0,0.0013996369300861952,0.030691616498515283,0.0,0.9428232918219307
SMG_Mucous,0.0,0.0,0.0,0.0037317385340107376,0.2771627289165786,0.01980712054376453,0.0017661402034721092,0.697532271802174
SMG_Serous,0.0,0.016336898493075184,0.006327561550120512,0.000255172777246268,0.0,0.0,0.0,0.977080367179558
Schwann_Myelinating,0.019409004733437298,0.24400399814553228,0.10672310410472495,0.024405020677733764,0.013420382360863596,0.0,0.0,0.592038489977708
Schwann_nonmyelinating,0.034694456916529184,0.49316817911659155,0.2280193700427572,0.0220536714777277,0.0,0.1489821566871115,0.0,0.07308216575928277
Secretory_Club,0.002879490877803264,0.1217299885906619,0.05098770420876846,0.04654589552860102,0.5179170731918037,0.0,0.1388440882971223,0.12109575930523947
Secretory_Goblet,0.0,0.01865134713247001,0.0,0.0,0.9532988648119599,0.0031675719571041027,0.0,0.024882216098466057
Suprabasal,0.0,0.04689652409211589,0.0,0.0,0.9396264589711856,0.013477016936698448,0.0,0.0
T_reg,0.29612018687950087,0.059894518524424574,0.040127683897722186,0.23417426748762496,0.09334623136042029,0.06342993037447733,0.15741665592091517,0.055490525554914495
gdT,0.27827400039262307,0.06750719413170449,0.04823568070780052,0.2146097108355383,0.0505983177106194,0.09132704797072655,0.15195353127370548,0.09749451697728227
