,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
Dividing_AT2,0.055109670540676996,0.049220175126086584,0.0,0.0,0.1755075446839214,0.5012724345293997,0.1971072110170068,0.0,0.0,0.0,0.013119547865987218,0.008663416236921257
Dividing_Basal,0.0,0.0,0.15592131813574042,0.019105416238684652,0.0,0.7327476730751898,0.0,0.058280172333417944,0.0,0.0,0.033945420216967115,0.0
Endothelia_Lymphatic,0.0,0.06611850566411652,0.005665043696705499,0.34921433235986094,0.0,0.002250173242333271,0.0,0.3885710502165246,0.002025357616417665,0.043893952989223786,0.07825295005182059,0.06400863416299725
Endothelia_vascular_Cap_a,0.018497699212783273,0.5150801074673322,0.03206397475326789,0.18521736506904907,0.0,0.024863207601910336,0.0,0.0,0.051776695515364256,0.011679584315308666,0.10378332717736327,0.057038038887620914
Endothelia_vascular_Cap_g,0.014011960717369102,0.5181245212586016,0.03792093541489658,0.21054260218182824,0.0,0.02262783221756946,0.0,0.0,0.0626393089339447,0.02782570548832966,0.06876508061396017,0.03754205317350054
Endothelia_vascular_arterial_pulmonary,0.0009098808723635545,0.5518031907963287,0.0007247054223738059,0.10916008808300176,0.0,0.0031353669396684404,0.0,0.0,0.016188656184459204,0.013391087193210182,0.06435990918979463,0.2403271153187997
Endothelia_vascular_arterial_systemic,0.0,0.7788590398208537,0.0,0.020904928793257022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2002360313858893
Endothelia_vascular_venous_pulmonary,0.004078071288233469,0.09948507303164064,0.02422604378007709,0.41675543989123154,0.0,0.003937018882125369,0.0018244276659869585,0.18113425267811253,0.050288286876498514,0.017995052133073588,0.09529852038029803,0.10497781339272226
Endothelia_vascular_venous_systemic,0.001085949305773601,0.006425344150377723,0.018004265131567186,0.8931884019537879,0.0,0.0,0.0,0.0029675154417629643,0.02128880931069711,0.015819073055072984,0.025855568536082386,0.01536507311487825
Erythrocyte,0.07891353582159724,0.29495781118549147,0.0045634163177862225,0.08319530196979909,0.046528486768393156,0.052113969737958975,0.004511885440596465,0.0,0.002857618376270368,0.00897623565935797,0.08899628545637885,0.3343854532663702
Fibro_adventitial,0.0015482470811663091,0.025798876243604465,0.05641378333967475,0.0,0.0,0.0,0.0028862993224476555,0.685076806965665,0.06383677204529609,0.10386937374603833,0.040533550163871376,0.020036291092236178
Fibro_alveolar,0.009594781781962585,0.675194246855052,0.012097769775591911,0.20420993745389598,0.0,0.03959952889776648,0.0,0.02284010229883785,0.0007770918628338038,0.0,0.035686541074059205,0.0
Fibro_immune_recruiting,0.0,0.03448708535862566,0.11611304556861904,0.10773376715873724,0.0,0.0,0.008559009027318452,0.35095944322143824,0.1315999114225101,0.21748456691739165,0.024421822656748967,0.0086413486686106
Fibro_myofibroblast,0.0,0.0,0.0,0.1360782193736085,0.0,0.0012829896186396584,0.0,0.8502750183931465,0.0,0.0,0.007241687101514796,0.005122085513090503
Fibro_peribronchial,0.011584636396951469,0.1641556355826718,0.0,0.06786795709591745,0.030133084092130048,0.10133054862041635,0.0,0.29063798505020355,0.00883546466970861,0.0,0.2703423641441767,0.055112324347823906
Fibro_perichondrial,0.008852093770205053,0.4634607586509202,0.0,0.0,0.0,0.015163689130687826,0.0,0.4153231728128467,0.001934399886706255,0.0,0.0920658646484311,0.00320002110020278
ILC,0.08648353919308732,0.1035711345349176,0.09279361867437368,0.10123697967075646,0.0403544964897602,0.09225682121581061,0.002716033246827917,0.12195725907925975,0.09829904328256324,0.07681613379418632,0.10847455475002964,0.07504038606842725
Ionocyte_n_Brush,0.27510753433690704,0.012406137985330063,0.0,0.0,0.3374934630413256,0.24180364446625344,0.12195365786909766,0.0,0.002826558552797722,0.0,0.005560680828438143,0.0028483229198503976
MAIT,0.10039966091118857,0.12537958083735595,0.09334036417556801,0.11699467719604562,0.04317623574620494,0.1038893835581355,0.0,0.12464828221032863,0.08986946423077714,0.0668824189971031,0.08237387588217103,0.05304605625512148
Macro_CHIT1,0.0,0.07707667158965759,0.11523856745586218,0.09511796027842982,0.0,0.0,0.03994862326946969,0.4005425302261666,0.017959258983564177,0.25411638819684995,0.0,0.0
Macro_interstitial,0.027952387511187893,0.1329762736204836,0.10300091578525017,0.11172031738224397,0.03578967142149424,0.04417800749325157,0.0,0.3324391629176147,0.04228958072796189,0.169653683140512,0.0,0.0
Macro_AW_CX3CR1,0.023099961853021402,0.14302212735794234,0.13701139326484887,0.02679625483704199,0.11993013049037234,0.07519507513700124,0.08958166613422928,0.07775105666767333,0.08212605939678069,0.22548627486108852,0.0,0.0
Macro_alveolar_metallothioneins,0.0,0.036941683601385666,0.11249630983468673,0.112312572392279,0.007704589550546599,0.002566564827257635,0.0,0.3613186572960645,0.0256056243931533,0.22789822389933384,0.018742853580037983,0.09441292062525466
Macro_alv,0.007745447419906633,0.3250904850614449,0.09580075414410816,0.15037249225718163,0.0,0.023029276193867288,0.0,0.17206468083373866,0.02168199879831155,0.10348006522867191,0.04076236988927081,0.05997243017349859
